plz,name,lat,long,ev_count,population,area
25554,Wilster,53.9301344359,9.3600031915,0,7273,82.878027
71729,Erdmannhausen,48.9372391857,9.29614896524,0,4749,7.836918
73770,Denkendorf,48.6937631002,9.32098658242,6,10329,13.043913
97904,Dorfprozelten,49.7913022994,9.37262501389,0,1814,11.331155
24850,Schuby,54.5216718645,9.4669418395,2,4487,49.303783
37619,"Bodenwerder, Pegestorf, Kirchbrak, Hehlen",51.9621153474,9.50808863725,7,9669,85.803728
39317,Elbe-Parey,52.3821930705,11.9902583062,0,6042,77.958205
18198,"Stäbelow, Kritzmow",54.0567544807,12.031533584,0,4671,30.054202
93059,Regensburg,49.0313260034,12.0849555506,15,15685,9.982167
7957,Langenwetzendorf,50.6843851725,12.1058292964,0,4543,55.896737
6711,Zeitz,51.0927392293,12.1198646573,0,3494,31.855152
95666,Mitterteich,49.944730294,12.2773094838,1,7968,90.762337
83567,Unterreit,48.1292438593,12.3346137329,0,1699,32.332025
83123,Amerang,48.0115133412,12.3103736984,2,3545,39.817314
14789,"Wusterwitz, Rosenau, Bensdorf",52.3693363981,12.3458958276,1,5367,107.98375
4107,Leipzig,51.329898286,12.3698591545,0,11593,1.644708
8236,Ellefeld,50.4816374849,12.3890241119,0,2806,4.47474
4571,Rötha,51.2039185065,12.4735385717,0,6095,46.439717
14798,Havelsee,52.5034352462,12.478377468,0,3432,81.981653
8058,Zwickau,50.7630978664,12.4730775263,2,20025,41.68626
8393,Meerane,50.8444247072,12.4776023609,0,17865,49.012044
94356,Kirchroth,48.9576329744,12.5184425667,1,3657,42.818632
83376,Seeon-Seebruck,47.9585731176,12.5029138831,0,1560,13.154885
4849,Bad Düben,51.5950643244,12.6413067319,0,10313,119.473866
8373,Remse,50.8574400166,12.5637515562,0,1757,14.418787
94377,Steinach,48.9535458337,12.6032594734,0,2919,23.238196
84576,Teising,48.2297610019,12.6117898616,0,1847,5.373496
9350,Lichtenstein,50.7487187475,12.6351110104,0,12403,15.520075
84508,Burgkirchen an der Alz,48.1502668275,12.7228889849,0,10028,46.258152
83317,Teisendorf,47.8548731228,12.8181335975,3,8259,70.521086
9249,Taura b. Burgstädt,50.9108763859,12.8556918203,0,2486,11.139153
93485,Rimbach,49.234537198,12.8856875367,1,1942,24.769794
84389,Postmünster,48.4276481466,12.8892825258,0,2357,43.466983
9468,Geyer,50.6242805401,12.9158669404,0,4953,26.350299
83457,Bayerisch Gmain,47.7100348873,12.9022236575,1,2868,12.323106
9392,Auerbach,50.6878866092,12.9104589241,0,2753,8.161266
17235,Neustrelitz,53.3405638362,13.07049634,11,20435,142.983367
14473,Potsdam,52.3703462764,13.0501704864,5,11335,18.900963
94264,Langdorf,49.0267921445,13.1525338762,1,1905,34.450417
13581,Berlin Spandau,52.5310524331,13.1793661645,7,14355,3.947104
17087,Altentreptow,53.6942921573,13.240107446,1,5688,53.132447
10585,Berlin Charlottenburg,52.5152022074,13.3056818944,4,12688,0.774488
10783,Berlin Schöneberg,52.4964130117,13.3623826111,3,11151,0.633407
10969,Berlin Kreuzberg,52.5024970272,13.4011229062,7,25347,1.975733
10119,Berlin Mitte,52.530478963,13.4053272797,3,16363,0.977302
41379,Brüggen,51.2631453769,6.16442091645,6,15516,61.313825
52062,Aachen,50.77707715,6.08644479282,8,15989,1.639541
41334,Nettetal,51.3164380221,6.25028269371,7,41462,83.882383
54616,Winterspelt,50.2139938178,6.21012309869,0,847,25.352233
54675,Körperich u.a.,49.9324846649,6.305345994,1,6048,122.471228
47665,Sonsbeck,51.6154153208,6.37510004474,2,8712,55.400714
54332,Wasserliesch,49.6989770132,6.53509313939,0,2261,7.570937
53894,Mechernich,50.5912162336,6.64780314953,12,26779,136.368758
47441,Moers,51.4480485759,6.62328853528,8,30833,12.999096
66798,Wallerfangen,49.3194697966,6.65835086012,0,9490,42.221962
54293,Trier,49.8048585918,6.67257791796,0,14881,40.93592
46485,Wesel,51.6631681385,6.65758000048,7,22751,38.444097
50374,Erftstadt,50.7930177502,6.76687750812,9,49270,119.851685
49824,"Ringe, Laar, Emlichheim",52.6131751029,6.84576715491,5,11512,135.05119
47169,Duisburg,51.511769152,6.75691566583,2,29140,8.631176
47051,Duisburg,51.4321281223,6.76803215375,7,13928,2.389532
50827,Köln,50.9679389444,6.89927496834,4,27209,5.693685
53505,"Altenahr, Berg, Kalenborn, Kirchsahr",50.5296159868,6.9589223062,2,4179,44.428562
46359,Heiden,51.8253340953,6.95525028701,5,8111,53.297651
66113,Saarbrücken,49.2537458302,6.97411755537,4,23110,8.863821
51105,Köln,50.9182547514,6.99651396437,4,27095,7.856704
45134,Essen,51.4197935292,7.03753147766,8,11898,5.300882
42327,Wuppertal,51.2446351568,7.06363746627,1,18472,15.425397
55777,Berschweiler bei Baumholder,49.5768959273,7.29955851549,0,1279,22.438825
45731,Waltrop,51.6232007254,7.399422039,3,28985,47.08074
66386,Sankt Ingbert,49.273743969,7.13211045619,14,36653,49.912671
48249,Dülmen,51.8472162304,7.28911476254,16,46485,184.74744
44653,Herne,51.5457178713,7.16442632475,3,10835,7.391303
48629,Metelen,52.1480668113,7.20734246971,1,6409,40.260392
42285,Wuppertal,51.256991111,7.17478205346,3,12250,5.413732
91740,Röckingen,49.0524536774,10.5551291322,2,731,10.873678
23617,Stockelsdorf,53.93038868,10.6177100299,4,16525,56.922516
86863,Langenneufnach,48.2598972788,10.6029983459,3,1683,12.842176
91448,Emskirchen,49.551783995,10.7280219104,4,5968,67.199721
23554,Lübeck St. Lorenz Nord,53.890504262,10.6816991607,6,22351,9.904369
29378,Wittingen,52.6909083054,10.7667886536,3,8212,171.164889
96172,Mühlhausen,49.7567503704,10.7601038893,1,1666,16.614336
91560,Heilsbronn,49.347358524,10.800261009,3,9051,62.175223
29594,Soltendiek,52.8691456585,10.7767102108,0,1038,34.147609
86368,Gersthofen,48.4300491582,10.8221739872,7,20750,33.561956
38446,Wolfsburg,52.3815914035,10.8380694367,2,20845,62.108657
38464,Groß Twülpstedt,52.366622858,10.9126691301,0,2563,36.385373
86672,Thierhaupten,48.5619764342,10.9153989993,0,3869,39.284042
86165,Augsburg,48.3798055491,10.938993245,1,14192,7.065584
86163,Augsburg,48.3485762025,10.9449047065,2,20144,5.039446
38372,Büddenstedt,52.1626172733,11.020550556,0,2704,18.379292
86510,Ried,48.2898294758,11.0743990832,0,2921,29.217771
